PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V8,30137-71,31,446.0
EQ3 EXW US V8,30137-71,40,466.0
EQ3 EXW US V8,30137-71,50,486.0
EQ3 EXW US V8,30137-71,60,506.0
EQ3 EXW US V8,30137-71,70,526.0
EQ3 EXW US V8,30137-71,F,751.0
EQ3 EXW US V8,30137-71,I,901.0
EQ3 EXW US V8,30137-71,41,nan
EQ3 EXW US V8,30137-71,42,nan
EQ3 EXW US V8,30137-74,10,207.0
EQ3 EXW US V8,30137-74,20,226.0
EQ3 EXW US V8,30137-74,30,241.0
EQ3 EXW US V8,30137-74,31,241.0
EQ3 EXW US V8,30137-74,40,261.0
EQ3 EXW US V8,30137-74,50,281.0
EQ3 EXW US V8,30137-74,60,301.0
EQ3 EXW US V8,30137-74,70,321.0
EQ3 EXW US V8,30137-74,F,481.0
EQ3 EXW US V8,30137-74,I,541.0
EQ3 EXW US V8,30137-74,41,261.0
EQ3 EXW US V8,30137-74,42,281.0
EQ3 EXW US V8,30192-01,10,1150.0
EQ3 EXW US V8,30192-01,20,1190.0
EQ3 EXW US V8,30192-01,30,1220.0
EQ3 EXW US V8,30192-01,31,1220.0
EQ3 EXW US V8,30192-01,40,1250.0
EQ3 EXW US V8,30192-01,50,1300.0
EQ3 EXW US V8,30192-01,60,1350.0
EQ3 EXW US V8,30192-01,70,1400.0
EQ3 EXW US V8,30192-01,F,2000.0
EQ3 EXW US V8,30192-01,I,2150.0
EQ3 EXW US V8,30192-01,41,nan
EQ3 EXW US V8,30192-01,42,nan
EQ3 EXW US V8,30192-03,10,1109.0
EQ3 EXW US V8,30192-03,20,1149.0
EQ3 EXW US V8,30192-03,30,1179.0
EQ3 EXW US V8,30192-03,31,1179.0
EQ3 EXW US V8,30192-03,40,1209.0
EQ3 EXW US V8,30192-03,50,1259.0
EQ3 EXW US V8,30192-03,60,1309.0
EQ3 EXW US V8,30192-03,70,1359.0
EQ3 EXW US V8,30192-03,F,1959.0
EQ3 EXW US V8,30192-03,I,2109.0
EQ3 EXW US V8,30192-03,41,nan
EQ3 EXW US V8,30192-03,42,nan
