PriceList,Catalog,GradeGroup,Price
EQ3 EXW CA V7,30137-36,F,1525.0
EQ3 EXW CA V7,30137-36,I,1645.0
EQ3 EXW CA V7,30137-36,41,nan
EQ3 EXW CA V7,30137-36,42,nan
EQ3 EXW CA V7,30137-41,10,97.0
EQ3 EXW CA V7,30137-41,20,102.0
EQ3 EXW CA V7,30137-41,30,107.0
EQ3 EXW CA V7,30137-41,31,107.0
EQ3 EXW CA V7,30137-41,40,112.0
EQ3 EXW CA V7,30137-41,50,122.0
EQ3 EXW CA V7,30137-41,60,132.0
EQ3 EXW CA V7,30137-41,70,137.0
EQ3 EXW CA V7,30137-41,F,267.0
EQ3 EXW CA V7,30137-41,I,297.0
EQ3 EXW CA V7,30137-41,41,nan
EQ3 EXW CA V7,30137-41,42,nan
EQ3 EXW CA V7,30137-64,10,282.0
EQ3 EXW CA V7,30137-64,20,302.0
EQ3 EXW CA V7,30137-64,30,317.0
EQ3 EXW CA V7,30137-64,31,317.0
EQ3 EXW CA V7,30137-64,40,337.0
EQ3 EXW CA V7,30137-64,50,357.0
EQ3 EXW CA V7,30137-64,60,377.0
EQ3 EXW CA V7,30137-64,70,397.0
EQ3 EXW CA V7,30137-64,F,557.0
EQ3 EXW CA V7,30137-64,I,617.0
EQ3 EXW CA V7,30137-64,41,272.0
EQ3 EXW CA V7,30137-64,42,292.0
EQ3 EXW CA V7,30137-71,10,522.0
EQ3 EXW CA V7,30137-71,20,542.0
EQ3 EXW CA V7,30137-71,30,557.0
EQ3 EXW CA V7,30137-71,31,557.0
EQ3 EXW CA V7,30137-71,40,577.0
EQ3 EXW CA V7,30137-71,50,597.0
EQ3 EXW CA V7,30137-71,60,617.0
EQ3 EXW CA V7,30137-71,70,637.0
EQ3 EXW CA V7,30137-71,F,862.0
EQ3 EXW CA V7,30137-71,I,922.0
EQ3 EXW CA V7,30137-71,41,nan
EQ3 EXW CA V7,30137-71,42,nan
EQ3 EXW CA V7,30137-74,10,304.0
EQ3 EXW CA V7,30137-74,20,324.0
EQ3 EXW CA V7,30137-74,30,339.0
EQ3 EXW CA V7,30137-74,31,339.0
EQ3 EXW CA V7,30137-74,40,359.0
EQ3 EXW CA V7,30137-74,50,379.0
EQ3 EXW CA V7,30137-74,60,399.0
EQ3 EXW CA V7,30137-74,70,419.0
EQ3 EXW CA V7,30137-74,F,579.0
EQ3 EXW CA V7,30137-74,I,639.0
EQ3 EXW CA V7,30137-74,41,314.0
EQ3 EXW CA V7,30137-74,42,334.0
EQ3 EXW CA V7,30192-01,10,1279.0
EQ3 EXW CA V7,30192-01,20,1319.0
EQ3 EXW CA V7,30192-01,30,1349.0
EQ3 EXW CA V7,30192-01,31,1349.0
EQ3 EXW CA V7,30192-01,40,1379.0
EQ3 EXW CA V7,30192-01,50,1429.0
EQ3 EXW CA V7,30192-01,60,1479.0
EQ3 EXW CA V7,30192-01,70,1529.0
EQ3 EXW CA V7,30192-01,F,2129.0
EQ3 EXW CA V7,30192-01,I,2279.0
EQ3 EXW CA V7,30192-01,41,nan
EQ3 EXW CA V7,30192-01,42,nan
EQ3 EXW CA V7,30192-03,10,1235.0
EQ3 EXW CA V7,30192-03,20,1275.0
EQ3 EXW CA V7,30192-03,30,1305.0
EQ3 EXW CA V7,30192-03,31,1305.0
EQ3 EXW CA V7,30192-03,40,1335.0
EQ3 EXW CA V7,30192-03,50,1385.0
EQ3 EXW CA V7,30192-03,60,1435.0
EQ3 EXW CA V7,30192-03,70,1485.0
EQ3 EXW CA V7,30192-03,F,2085.0
EQ3 EXW CA V7,30192-03,I,2235.0
EQ3 EXW CA V7,30192-03,41,nan
EQ3 EXW CA V7,30192-03,42,nan
EQ3 EXW CA V7,30192-06,10,954.0
EQ3 EXW CA V7,30192-06,20,974.0
EQ3 EXW CA V7,30192-06,30,989.0
EQ3 EXW CA V7,30192-06,31,989.0
EQ3 EXW CA V7,30192-06,40,1009.0
EQ3 EXW CA V7,30192-06,50,1029.0
EQ3 EXW CA V7,30192-06,60,1049.0
EQ3 EXW CA V7,30192-06,70,1069.0
EQ3 EXW CA V7,30192-06,F,1294.0
EQ3 EXW CA V7,30192-06,I,1354.0
EQ3 EXW CA V7,30192-06,41,nan
EQ3 EXW CA V7,30192-06,42,nan
EQ3 EXW CA V7,30192-07,10,1091.0
EQ3 EXW CA V7,30192-07,20,1131.0
EQ3 EXW CA V7,30192-07,30,1161.0
EQ3 EXW CA V7,30192-07,31,1161.0
EQ3 EXW CA V7,30192-07,40,1191.0
EQ3 EXW CA V7,30192-07,50,1241.0
EQ3 EXW CA V7,30192-07,60,1291.0
EQ3 EXW CA V7,30192-07,70,1341.0
EQ3 EXW CA V7,30192-07,F,1941.0
EQ3 EXW CA V7,30192-07,I,2091.0
EQ3 EXW CA V7,30192-07,41,nan
EQ3 EXW CA V7,30192-07,42,nan
EQ3 EXW CA V7,30192-08,10,1091.0
EQ3 EXW CA V7,30192-08,20,1131.0
EQ3 EXW CA V7,30192-08,30,1161.0
EQ3 EXW CA V7,30192-08,31,1161.0
EQ3 EXW CA V7,30192-08,40,1191.0
EQ3 EXW CA V7,30192-08,50,1241.0
EQ3 EXW CA V7,30192-08,60,1291.0
EQ3 EXW CA V7,30192-08,70,1341.0
EQ3 EXW CA V7,30192-08,F,1941.0
EQ3 EXW CA V7,30192-08,I,2091.0
EQ3 EXW CA V7,30192-08,41,nan
EQ3 EXW CA V7,30192-08,42,nan
EQ3 EXW CA V7,30192-09,10,719.0
EQ3 EXW CA V7,30192-09,20,739.0
EQ3 EXW CA V7,30192-09,30,754.0
EQ3 EXW CA V7,30192-09,31,754.0
EQ3 EXW CA V7,30192-09,40,789.0
EQ3 EXW CA V7,30192-09,50,824.0
EQ3 EXW CA V7,30192-09,60,859.0
EQ3 EXW CA V7,30192-09,70,894.0
EQ3 EXW CA V7,30192-09,F,1314.0
EQ3 EXW CA V7,30192-09,I,1419.0
EQ3 EXW CA V7,30192-09,41,nan
EQ3 EXW CA V7,30192-09,42,nan
EQ3 EXW CA V7,30192-10,10,572.0
EQ3 EXW CA V7,30192-10,20,592.0
EQ3 EXW CA V7,30192-10,30,607.0
EQ3 EXW CA V7,30192-10,31,607.0
EQ3 EXW CA V7,30192-10,40,627.0
EQ3 EXW CA V7,30192-10,50,647.0
EQ3 EXW CA V7,30192-10,60,667.0
EQ3 EXW CA V7,30192-10,70,687.0
EQ3 EXW CA V7,30192-10,F,912.0
EQ3 EXW CA V7,30192-10,I,972.0
EQ3 EXW CA V7,30192-10,41,nan
EQ3 EXW CA V7,30192-10,42,nan
EQ3 EXW CA V7,30192-11,10,667.0
EQ3 EXW CA V7,30192-11,20,687.0
EQ3 EXW CA V7,30192-11,30,702.0
EQ3 EXW CA V7,30192-11,31,702.0
EQ3 EXW CA V7,30192-11,40,737.0
EQ3 EXW CA V7,30192-11,50,772.0
EQ3 EXW CA V7,30192-11,60,807.0
EQ3 EXW CA V7,30192-11,70,842.0
EQ3 EXW CA V7,30192-11,F,1262.0
EQ3 EXW CA V7,30192-11,I,1367.0
EQ3 EXW CA V7,30192-11,41,nan
