PriceList,Catalog,GradeGroup,Price
UFCA 1711E V5,30137-71,42,nan
UFCA 1711E V5,30137-74,10,325.0
UFCA 1711E V5,30137-74,20,345.0
UFCA 1711E V5,30137-74,30,360.0
UFCA 1711E V5,30137-74,40,380.0
UFCA 1711E V5,30137-74,50,400.0
UFCA 1711E V5,30137-74,60,420.0
UFCA 1711E V5,30137-74,70,440.0
UFCA 1711E V5,30137-74,F,600.0
UFCA 1711E V5,30137-74,I,660.0
UFCA 1711E V5,30137-74,41,335.0
UFCA 1711E V5,30137-74,42,355.0
UFCA 1711E V5,30192-01,10,1350.0
UFCA 1711E V5,30192-01,20,1390.0
UFCA 1711E V5,30192-01,30,1420.0
UFCA 1711E V5,30192-01,40,1450.0
UFCA 1711E V5,30192-01,50,1500.0
UFCA 1711E V5,30192-01,60,1550.0
UFCA 1711E V5,30192-01,70,1600.0
UFCA 1711E V5,30192-01,F,2200.0
UFCA 1711E V5,30192-01,I,2350.0
UFCA 1711E V5,30192-01,41,nan
UFCA 1711E V5,30192-01,42,nan
UFCA 1711E V5,30192-03,10,1300.0
UFCA 1711E V5,30192-03,20,1340.0
UFCA 1711E V5,30192-03,30,1370.0
UFCA 1711E V5,30192-03,40,1400.0
UFCA 1711E V5,30192-03,50,1450.0
UFCA 1711E V5,30192-03,60,1500.0
UFCA 1711E V5,30192-03,70,1550.0
UFCA 1711E V5,30192-03,F,2150.0
UFCA 1711E V5,30192-03,I,2300.0
UFCA 1711E V5,30192-03,41,nan
UFCA 1711E V5,30192-03,42,nan
UFCA 1711E V5,30192-06,10,1000.0
UFCA 1711E V5,30192-06,20,1020.0
UFCA 1711E V5,30192-06,30,1035.0
UFCA 1711E V5,30192-06,40,1055.0
UFCA 1711E V5,30192-06,50,1075.0
UFCA 1711E V5,30192-06,60,1095.0
UFCA 1711E V5,30192-06,70,1115.0
UFCA 1711E V5,30192-06,F,1340.0
UFCA 1711E V5,30192-06,I,1400.0
UFCA 1711E V5,30192-06,41,nan
UFCA 1711E V5,30192-06,42,nan
UFCA 1711E V5,30192-07,10,1150.0
UFCA 1711E V5,30192-07,20,1190.0
UFCA 1711E V5,30192-07,30,1220.0
UFCA 1711E V5,30192-07,40,1250.0
UFCA 1711E V5,30192-07,50,1300.0
UFCA 1711E V5,30192-07,60,1350.0
UFCA 1711E V5,30192-07,70,1400.0
UFCA 1711E V5,30192-07,F,2000.0
UFCA 1711E V5,30192-07,I,2150.0
UFCA 1711E V5,30192-07,41,nan
UFCA 1711E V5,30192-07,42,nan
UFCA 1711E V5,30192-08,10,1150.0
UFCA 1711E V5,30192-08,20,1190.0
UFCA 1711E V5,30192-08,30,1220.0
UFCA 1711E V5,30192-08,40,1250.0
UFCA 1711E V5,30192-08,50,1300.0
UFCA 1711E V5,30192-08,60,1350.0
UFCA 1711E V5,30192-08,70,1400.0
UFCA 1711E V5,30192-08,F,2000.0
UFCA 1711E V5,30192-08,I,2150.0
UFCA 1711E V5,30192-08,41,nan
UFCA 1711E V5,30192-08,42,nan
UFCA 1711E V5,30192-09,10,750.0
UFCA 1711E V5,30192-09,20,770.0
UFCA 1711E V5,30192-09,30,785.0
UFCA 1711E V5,30192-09,40,820.0
UFCA 1711E V5,30192-09,50,855.0
UFCA 1711E V5,30192-09,60,890.0
UFCA 1711E V5,30192-09,70,925.0
UFCA 1711E V5,30192-09,F,1345.0
UFCA 1711E V5,30192-09,I,1450.0
UFCA 1711E V5,30192-09,41,nan
UFCA 1711E V5,30192-09,42,nan
UFCA 1711E V5,30192-10,10,600.0
UFCA 1711E V5,30192-10,20,620.0
UFCA 1711E V5,30192-10,30,635.0
UFCA 1711E V5,30192-10,40,655.0
UFCA 1711E V5,30192-10,50,675.0
UFCA 1711E V5,30192-10,60,695.0
UFCA 1711E V5,30192-10,70,715.0
UFCA 1711E V5,30192-10,F,940.0
UFCA 1711E V5,30192-10,I,1000.0
UFCA 1711E V5,30192-10,41,nan
UFCA 1711E V5,30192-10,42,nan
UFCA 1711E V5,30192-11,10,700.0
UFCA 1711E V5,30192-11,20,720.0
UFCA 1711E V5,30192-11,30,735.0
UFCA 1711E V5,30192-11,40,770.0
UFCA 1711E V5,30192-11,50,805.0
UFCA 1711E V5,30192-11,60,840.0
UFCA 1711E V5,30192-11,70,875.0
UFCA 1711E V5,30192-11,F,1295.0
UFCA 1711E V5,30192-11,I,1400.0
UFCA 1711E V5,30192-11,41,nan
UFCA 1711E V5,30192-11,42,nan
UFCA 1711E V5,30192-12,10,700.0
UFCA 1711E V5,30192-12,20,720.0
UFCA 1711E V5,30192-12,30,735.0
UFCA 1711E V5,30192-12,40,770.0
UFCA 1711E V5,30192-12,50,805.0
UFCA 1711E V5,30192-12,60,840.0
UFCA 1711E V5,30192-12,70,875.0
UFCA 1711E V5,30192-12,F,1295.0
UFCA 1711E V5,30192-12,I,1400.0
UFCA 1711E V5,30192-12,41,nan
UFCA 1711E V5,30192-12,42,nan
UFCA 1711E V5,30192-14,10,1050.0
UFCA 1711E V5,30192-14,20,1070.0
UFCA 1711E V5,30192-14,30,1085.0
UFCA 1711E V5,30192-14,40,1100.0
UFCA 1711E V5,30192-14,50,1120.0
UFCA 1711E V5,30192-14,60,1140.0
UFCA 1711E V5,30192-14,70,1160.0
UFCA 1711E V5,30192-14,F,1730.0
UFCA 1711E V5,30192-14,I,1850.0
UFCA 1711E V5,30192-14,41,nan
UFCA 1711E V5,30192-14,42,nan
UFCA 1711E V5,30192-15,10,1050.0
UFCA 1711E V5,30192-15,20,1090.0
UFCA 1711E V5,30192-15,30,1120.0
UFCA 1711E V5,30192-15,40,1150.0
UFCA 1711E V5,30192-15,50,1200.0
UFCA 1711E V5,30192-15,60,1250.0
UFCA 1711E V5,30192-15,70,1300.0
UFCA 1711E V5,30192-15,F,1900.0
UFCA 1711E V5,30192-15,I,2050.0
UFCA 1711E V5,30192-15,41,nan
UFCA 1711E V5,30192-15,42,nan
UFCA 1711E V5,30192-16,10,1050.0
UFCA 1711E V5,30192-16,20,1090.0
UFCA 1711E V5,30192-16,30,1120.0
UFCA 1711E V5,30192-16,40,1150.0
UFCA 1711E V5,30192-16,50,1200.0
UFCA 1711E V5,30192-16,60,1250.0
UFCA 1711E V5,30192-16,70,1300.0
UFCA 1711E V5,30192-16,F,1900.0
UFCA 1711E V5,30192-16,I,2050.0
UFCA 1711E V5,30192-16,41,nan
